id,artist,title,mix,album,key,bpm,genre,datasets,output_filename
25702,"Midnight Blue, Blind Faith",Blessed,Blind Faith Reprise Version 1,Source of Gravity Digital,C# minor,,Electronica / Downtempo,beatport-edm,"25702 Midnight Blue, Blind Faith - Blessed (Blind Faith Reprise Version 1).mp3"
25703,"Midnight Blue, Jay Welsh, Black Ice",Blessed,Black Ice Remix,Source of Gravity Digital,C# minor,,Progressive House,beatport-edm,"25703 Midnight Blue, Jay Welsh, Black Ice - Blessed (Black Ice Remix).mp3"
26737,Marco Repetto,Fibrill 2,Thomas Schumacher Remix,Superstition Records,C minor,,Techno,beatport-edm,26737 Marco Repetto - Fibrill 2 (Thomas Schumacher Remix).mp3
28952,,,,,,137.6,,giantsteps-tempo,28952.mp3
29912,Slam,Bright Lights Fading,Slam Mix,Soma Records,D# minor,,Techno,beatport-edm,29912 Slam - Bright Lights Fading (Slam Mix).mp3
30278,"Neurotron, Alectric",Indigo,Alectric Mix,Night Drive Music,D major,,House,beatport-edm,"30278 Neurotron, Alectric - Indigo (Alectric Mix).mp3"
32715,Psykofuk,Psykofuk,Original Mix,Star 69 Records,B minor,,Trance,beatport-edm,32715 Psykofuk - Psykofuk (Original Mix).mp3
33583,"Dub Kult, Guido Schneider",On and On,Remix,Raum...Musik.,E minor,,Minimal,beatport-edm,"33583 Dub Kult, Guido Schneider - On and On (Remix).mp3"
33846,Pole Folder,London,Original Mix,Bedrock Records,C minor,,Progressive House,beatport-edm,33846 Pole Folder - London (Original Mix).mp3
33961,Paul Kalkbrenner,Steinbeisser,Original Mix,Bpitch Control,G minor,,Techno,beatport-edm,33961 Paul Kalkbrenner - Steinbeisser (Original Mix).mp3
35645,"Above & Beyond, Shane 54",Far From In Love,Shane 54 Remix,Anjunabeats,F minor,,Trance,beatport-edm,"35645 Above & Beyond, Shane 54 - Far From In Love (Shane 54 Remix).mp3"
37745,Murat,Third Floor Pt. 1,Original Mix,Elephanthaus,E minor,,Techno,beatport-edm,37745 Murat - Third Floor Pt. 1 (Original Mix).mp3
37779,Solid Slide,Epic Storm,Original Mix,Bonzai Back Catalog,A# major,,Trance,beatport-edm,37779 Solid Slide - Epic Storm (Original Mix).mp3
40030,Rene a.k.a. Maker,Always Look Ahead,Original Mix,Total Wipes,E minor,,Tech House,beatport-edm,40030 Rene a.k.a. Maker - Always Look Ahead (Original Mix).mp3
40643,Green Velvet,La La Land,Instrumental Mix,Relief Records,A minor,,Tech House,beatport-edm,40643 Green Velvet - La La Land (Instrumental Mix).mp3
40875,"Pure Science, Sci-Phi",Human Spirit,Original Mix,Lunar Tunes,G# minor,,Tech House,beatport-edm,"40875 Pure Science, Sci-Phi - Human Spirit (Original Mix).mp3"
41267,Jon Delerious,Desavibes,Original Mix,Nordic Trax,C# minor,,Electronica / Downtempo,beatport-edm,41267 Jon Delerious - Desavibes (Original Mix).mp3
41907,"2 Souls, Astrid",In The Beginning,DJ Astrid Remix,Black Hole Recordings,C minor,,Trance,beatport-edm,"41907 2 Souls, Astrid - In The Beginning (DJ Astrid Remix).mp3"
42234,Rafael Gomez,All Systems Are Go,Original Mix,Treibstoff,X,,Minimal,beatport-edm,42234 Rafael Gomez - All Systems Are Go (Original Mix).mp3
45212,Matthew Dear,Juice,Original Mix,Spectral Sound,B minor,,Minimal,beatport-edm,45212 Matthew Dear - Juice (Original Mix).mp3
49242,FALSE,Tanning Booths,Original Mix,Minus,F minor,,Minimal,beatport-edm,49242 FALSE - Tanning Booths (Original Mix).mp3
49721,King Kong Crew,Make Me Acid,Original Mix,King Kong Records,C major,,Tech House,beatport-edm,49721 King Kong Crew - Make Me Acid (Original Mix).mp3
50823,Tigerskin,Style,Original Mix,Resopal Schallware,B minor,,Minimal,beatport-edm,50823 Tigerskin - Style (Original Mix).mp3
51220,Soulpatrol,Soul Searching Intro Jingle,Part One,Compost,D# minor,,Electronica / Downtempo,beatport-edm,51220 Soulpatrol - Soul Searching Intro Jingle (Part One).mp3
51936,Break 3000,Flash 1,Original Mix,MBF ltd,C minor,,Techno,beatport-edm,51936 Break 3000 - Flash 1 (Original Mix).mp3
54925,Caro,OVNIto,Original Mix,Orac Records,C minor,,Minimal,beatport-edm,54925 Caro - OVNIto (Original Mix).mp3
55659,"Smuk, Thodob",Kalkspat,Reacts With Acid Mix,Total Wipes,C minor,,Techno,beatport-edm,"55659 Smuk, Thodob - Kalkspat (Reacts With Acid Mix).mp3"
58167,"Miika Kuisma, Kenjido Okiru",Basscore,Original Mix,Subtraxx Recordings,D# minor,,Progressive House,beatport-edm,"58167 Miika Kuisma, Kenjido Okiru - Basscore (Original Mix).mp3"
58226,Bring Back the Buffalo,Experiences,Original Mix,Persona,C# major,,Electronica / Downtempo,beatport-edm,58226 Bring Back the Buffalo - Experiences (Original Mix).mp3
58581,"Meat Katie, Christian J, Dylan Rhymes",Turn Me Out,Dylan Rhymes Remix,LOT49,C# major,,Breaks,beatport-edm,"58581 Meat Katie, Christian J, Dylan Rhymes - Turn Me Out (Dylan Rhymes Remix).mp3"
60661,Jan Jelinek,davos s (trio 'round midnight),Original Mix,Scape,C# major,,Electronica / Downtempo,beatport-edm,60661 Jan Jelinek - davos s (trio 'round midnight) (Original Mix).mp3
61415,,,,,F minor,,trance,giantsteps-key,61415.mp3
61578,Electric Rescue,Rave On,Original Mix,Scandium Records,C other,,Techno,beatport-edm,61578 Electric Rescue - Rave On (Original Mix).mp3
61846,"Jean Claude Ades, Vincent Thomas",Fly Away,Vincent Thomas Remix,Swings Records,D# minor,,Progressive House,beatport-edm,"61846 Jean Claude Ades, Vincent Thomas - Fly Away (Vincent Thomas Remix).mp3"
62141,"Chris Liebing, Andre Walter, Jamie Bissmire",A1 (The wicked switch E.P.),Jamie Bissmire Mix,CLR,X,,Techno,beatport-edm,"62141 Chris Liebing, Andre Walter, Jamie Bissmire - A1 (The wicked switch E.P.) (Jamie Bissmire Mix).mp3"
63014,"Julian Poker, David Lara, Inkfish",Ketamine,Inkfish 8Bit Ninja Remix,Suburban Tracks,G# major,,Progressive House,beatport-edm,"63014 Julian Poker, David Lara, Inkfish - Ketamine (Inkfish 8Bit Ninja Remix).mp3"
63618,Pilot Jazou,Wonderful Morning,Original Mix,Total Wipes,G# major,,Electronica / Downtempo,beatport-edm,63618 Pilot Jazou - Wonderful Morning (Original Mix).mp3
65102,Modeselektor,Fake Emotion feat. Paul St.Hillaire,Original Mix,Bpitch Control,A minor | C major,,Electronica / Downtempo,beatport-edm,65102 Modeselektor - Fake Emotion feat. Paul St.Hillaire (Original Mix).mp3
65778,"Dakar, Grinser",25 Reptile,Original Mix,disko B,F minor,,Tech House,beatport-edm,"65778 Dakar, Grinser - 25 Reptile (Original Mix).mp3"
66070,Scooter,Hello! (Good To Be Back),Club Mix,Sheffield Tunes,D minor,,Trance,beatport-edm,66070 Scooter - Hello! (Good To Be Back) (Club Mix).mp3
68370,Blake,What feat. Liza,Original Mix,Ocean Dark,D minor,,Electro House,beatport-edm,68370 Blake - What feat. Liza (Original Mix).mp3
69040,Maertini Broes,W.T.U.S.,Original Mix,Poker Flat Recordings,C# minor,,Electro House,beatport-edm,69040 Maertini Broes - W.T.U.S. (Original Mix).mp3
74680,"Jimmy Van M, Brancaccio & Aisher",Sanctuary,Brancaccio & Aisher Remix,Bedrock Records,A minor,,Progressive House,beatport-edm,"74680 Jimmy Van M, Brancaccio & Aisher - Sanctuary (Brancaccio & Aisher Remix).mp3"
74982,,,,,C minor,,trance,giantsteps-key,74982.mp3
76914,Alex Gold,Energy Bomb feat. Kelly Morris,Original Mix,Xtravaganza,G minor,,Breaks,beatport-edm,76914 Alex Gold - Energy Bomb feat. Kelly Morris (Original Mix).mp3
77806,"Swirl People, Jonene, Touchdown",Fears,Jonene & Touchdown Mix,Tronicsole,F minor,,Deep House,beatport-edm,"77806 Swirl People, Jonene, Touchdown - Fears (Jonene & Touchdown Mix).mp3"
80643,Delon & Dalcan,Panik,Original Mix,Boxer Recordings,G minor | G major,,Tech House,beatport-edm,80643 Delon & Dalcan - Panik (Original Mix).mp3
84098,Benny Blanko,Put Your Hands feat. Pedro Polanski,Original Mix,Playhouse,C minor,,Deep House,beatport-edm,84098 Benny Blanko - Put Your Hands feat. Pedro Polanski (Original Mix).mp3
84522,"Dwight Trible, The Life Force Trio",Antiquity feat. J Dilla,Original Mix,Ninja Tune,F minor,,Hip-Hop / R&B,beatport-edm,"84522 Dwight Trible, The Life Force Trio - Antiquity feat. J Dilla (Original Mix).mp3"
90839,Alternate Vision,Out Of The Loop,Original Mix,Spun Records,D minor,,Trance,beatport-edm,90839 Alternate Vision - Out Of The Loop (Original Mix).mp3
94350,,,,,,151,,giantsteps-tempo,94350.mp3
95799,Deepgroove,Fascinated,Vocal Dub,UMM (UK) Underground Music Movement,C# minor,,House,beatport-edm,95799 Deepgroove - Fascinated (Vocal Dub).mp3
99805,Silencer,Drown In Me feat. Berwitz,Silencer Beats Mix,Critical Mass Recordings,G# minor,,Breaks,beatport-edm,99805 Silencer - Drown In Me feat. Berwitz (Silencer Beats Mix).mp3
99806,"Silencer, Force Mass Motion",Drown In Me feat. Berwitz,Force Mass Motions Stadium JKT Mix,Critical Mass Recordings,G# minor,,Progressive House,beatport-edm,"99806 Silencer, Force Mass Motion - Drown In Me feat. Berwitz (Force Mass Motions Stadium JKT Mix).mp3"
100066,Lindstrom,Monsteer,Original Mix,Dialect Recordings,D minor,,Electronica / Downtempo,beatport-edm,100066 Lindstrom - Monsteer (Original Mix).mp3
101069,,,,,E minor,,electro-house,giantsteps-key,101069.mp3
103857,"Hatstandy Andy, Dysfunktional",Emerge And See,Dysfunktional Mix,Xeton Records,E major,,Breaks,beatport-edm,"103857 Hatstandy Andy, Dysfunktional - Emerge And See (Dysfunktional Mix).mp3"
108844,"Jason Sparks, Si Begg",Gangsters,Si Begg Remix,Botchit & Scarper,X,,Breaks,beatport-edm,"108844 Jason Sparks, Si Begg - Gangsters (Si Begg Remix).mp3"
110504,Musica Charlista,Juan Y Alex,Original Mix,Apnea,D# minor,,Minimal,beatport-edm,110504 Musica Charlista - Juan Y Alex (Original Mix).mp3
119077,Doctor Rockit,Cafe De Flore,Original Mix,Accidental,C# minor | E major,,Electronica / Downtempo,beatport-edm,119077 Doctor Rockit - Cafe De Flore (Original Mix).mp3
119467,TTC,Catalogue,Instrumental,Big Dada,D# minor,,Hip-Hop / R&B,beatport-edm,119467 TTC - Catalogue (Instrumental).mp3
122772,,,,,,140,,giantsteps-tempo,122772.mp3
125918,Leafcutter John,In the Morning,Original Mix,Staubgold,G major,,Electronica / Downtempo,beatport-edm,125918 Leafcutter John - In the Morning (Original Mix).mp3
131427,"K. Wild, DJ Funsko",Can't Stop Me Now,DJ Funsko's Tribal House Dub Remix,Total Wipes,A minor,,House,beatport-edm,"131427 K. Wild, DJ Funsko - Can't Stop Me Now (DJ Funsko's Tribal House Dub Remix).mp3"
132143,"Snake Sedrick, Emze Hack, Eelke Kleijn",The Beginning,Eelke Kleijn Ambient Mix,Tilth Music,C# minor,,Progressive House,beatport-edm,"132143 Snake Sedrick, Emze Hack, Eelke Kleijn - The Beginning (Eelke Kleijn Ambient Mix).mp3"
134948,"Xerox, Illumination",Paranoia,Original Mix,Crystal Matrix,C minor,,Psy-Trance,beatport-edm,"134948 Xerox, Illumination - Paranoia (Original Mix).mp3"
135302,Smoke Chamberlain,Nikki,Original Mix,Profit Records,C minor,,Hip-Hop / R&B,beatport-edm,135302 Smoke Chamberlain - Nikki (Original Mix).mp3
138819,Amon Tobin,Escape,Original Mix,Ninja Tune,B major | B minor,,Drum & Bass,beatport-edm,138819 Amon Tobin - Escape (Original Mix).mp3
139755,Funki Porcini,Back Home,Original Mix,Ninja Tune,G major,,Electronica / Downtempo,beatport-edm,139755 Funki Porcini - Back Home (Original Mix).mp3
144851,JDS,Blackout,Original Mix,TCR (Thursday Club Recordings),B major,,Breaks,beatport-edm,144851 JDS - Blackout (Original Mix).mp3
150864,Kluster,Lava,Original Mix,Digital Psionics,F minor,,Psy-Trance,beatport-edm,150864 Kluster - Lava (Original Mix).mp3
155879,Headman,Moisture,Headman Club Mix,Gomma,D minor,,Electronica / Downtempo,beatport-edm,155879 Headman - Moisture (Headman Club Mix).mp3
159301,Freq,Beatstreet,Original Mix,Iboga Records,B minor,,Psy-Trance,beatport-edm,159301 Freq - Beatstreet (Original Mix).mp3
167955,Hawke (aka Gavin Hardkiss),Fly Fly Fly Away,Original Mix,Eighth Dimension Records,E major,,Electronica / Downtempo,beatport-edm,167955 Hawke (aka Gavin Hardkiss) - Fly Fly Fly Away (Original Mix).mp3
168304,Sam Rouanet,Tsuno,Original Mix,S'hort Records,F minor,,Tech House,beatport-edm,168304 Sam Rouanet - Tsuno (Original Mix).mp3
168450,Mumbo Jumbo,Mirage,Original Mix,Turbo Trance,F# minor,,Psy-Trance,beatport-edm,168450 Mumbo Jumbo - Mirage (Original Mix).mp3
172384,,,,,,84,,giantsteps-tempo,172384.mp3
174074,Boards Of Canada,Satellite Anthem Icarus,Original Mix,Warp Records,C# major,,Electronica / Downtempo,beatport-edm,174074 Boards Of Canada - Satellite Anthem Icarus (Original Mix).mp3
175197,Wild Planet,15 Love,Original Mix,Warp Records,E major,,Techno,beatport-edm,175197 Wild Planet - 15 Love (Original Mix).mp3
178137,Phantom Ghost,Born With A Nervous Breakdown,Rework breakdown mix,Ladomat 2000,E minor,,Tech House,beatport-edm,178137 Phantom Ghost - Born With A Nervous Breakdown (Rework breakdown mix).mp3
178770,"Martin Brodin, Klement Bonelli",From Malmoe To Bremen,Original Mix,Deeplay Soultec,E minor,,Tech House,beatport-edm,"178770 Martin Brodin, Klement Bonelli - From Malmoe To Bremen (Original Mix).mp3"
180779,DJ Trajic,Underground,Original Mix,Nemek Music,X,,Hard Dance,beatport-edm,180779 DJ Trajic - Underground (Original Mix).mp3
180831,"Mapstation, Ras Donovan",Uncentral,Original Mix,Staubgold,E major,,Electronica / Downtempo,beatport-edm,"180831 Mapstation, Ras Donovan - Uncentral (Original Mix).mp3"
181659,Laurent Garnier,Flashback,Video Mix,F Communications,F# major,,Techno,beatport-edm,181659 Laurent Garnier - Flashback (Video Mix).mp3
188000,Bent Sentient,Suffocation Dividend,Original Mix,Nano Records,E minor,,Psy-Trance,beatport-edm,188000 Bent Sentient - Suffocation Dividend (Original Mix).mp3
188616,Shane Philips,The Right Time,Original Mix,Mile End Records,C minor,,Electronica / Downtempo,beatport-edm,188616 Shane Philips - The Right Time (Original Mix).mp3
189045,"The Havana Boys, Fellmann & Louise",You're My Honey,Fellmann & Louise Remix,MuschiTunes,G major,,Electronica / Downtempo,beatport-edm,"189045 The Havana Boys, Fellmann & Louise - You're My Honey (Fellmann & Louise Remix).mp3"
189424,Qwel,Ruby Ragdollenne,Live,Galapagos4,D major,,Hip-Hop / R&B,beatport-edm,189424 Qwel - Ruby Ragdollenne (Live).mp3
190162,The Amalgamation Of Soundz,Latmo,Original Mix,Airtight,D major,,Deep House,beatport-edm,190162 The Amalgamation Of Soundz - Latmo (Original Mix).mp3
190288,Central Avenue,For Only You feat. Ov,Hard Mix Vocal Latin Mix,Delecto Recordings,A# minor,,House,beatport-edm,190288 Central Avenue - For Only You feat. Ov (Hard Mix Vocal Latin Mix).mp3
190477,,,,,D minor,,breaks,giantsteps-key,190477.mp3
191347,Schatrax,Mispent Years,Silicone Soul Darkroom Dub,,Eb minor,,house,giantsteps-key,191347 Schatrax - Mispent Years (Silicone Soul Darkroom Dub).mp3
193072,"Echotek, La Baaz",Away,La Baaz Remix,Flow Records,C minor,,Psy-Trance,beatport-edm,"193072 Echotek, La Baaz - Away (La Baaz Remix).mp3"
196477,Two Lone Swordsmen,Spin Desire,Original Mix,Rotters Golf Club,C# minor,,Techno,beatport-edm,196477 Two Lone Swordsmen - Spin Desire (Original Mix).mp3
197434,Monoder,Song,Original Mix,Pakkas Levyt,D major,,Minimal,beatport-edm,197434 Monoder - Song (Original Mix).mp3
200573,"M.I.K.E., Valentino Kanzyani",Salvation,Valentino Kanzyani JLY Remix,Club Elite (Armada),C# minor,,Trance,beatport-edm,"200573 M.I.K.E., Valentino Kanzyani - Salvation (Valentino Kanzyani JLY Remix).mp3"
200766,Zwo!,Oxigen,Original Mix,Dpress Industries,D minor,,Tech House,beatport-edm,200766 Zwo! - Oxigen (Original Mix).mp3
203493,,,,,G minor,,progressive-house,giantsteps-key,203493.mp3
203541,Drumsound & Bassline Smith,Dub Track,Original Mix,Technique Recordings,C# major,,Drum & Bass,beatport-edm,203541 Drumsound & Bassline Smith - Dub Track (Original Mix).mp3
205597,Roger Sanchez,Lost,Original Mix,,G minor,,house,giantsteps-key,205597 Roger Sanchez - Lost (Original Mix).mp3
206180,Rouge Rouge,Oui,Original Mix,Pschent Music,G minor,,Electronica / Downtempo,beatport-edm,206180 Rouge Rouge - Oui (Original Mix).mp3
206648,"Trick & Kubic, Constantine",Easy,Constantines Sunday Morning Deep Out Remix,Pool E Music,A major,,House,beatport-edm,"206648 Trick & Kubic, Constantine - Easy (Constantines Sunday Morning Deep Out Remix).mp3"
208158,,,,,E minor,,trance,giantsteps-key,208158.mp3
209206,,,,,G major,,trance,giantsteps-key,209206.mp3
209357,DJ Zinc,Toothbrush,Remix,True Playaz,F# minor,,Drum & Bass,beatport-edm,209357 DJ Zinc - Toothbrush (Remix).mp3
209475,Burn In Noise,New Computer,Original Mix,Kagdila Records,D minor,,Psy-Trance,beatport-edm,209475 Burn In Noise - New Computer (Original Mix).mp3
210560,,,,,,79,,giantsteps-tempo,210560.mp3
217855,DJ Dijital,Jit Wit It,Original Mix,Twilight 76,D minor,,Electronica / Downtempo,beatport-edm,217855 DJ Dijital - Jit Wit It (Original Mix).mp3
218890,Cyne,Growing,Instrumental,City Centre Offices,D major,,Hip-Hop / R&B,beatport-edm,218890 Cyne - Growing (Instrumental).mp3
218955,Lali Puna,Everywhere And Allover,Original Mix,Morr Music,D major,,Electronica / Downtempo,beatport-edm,218955 Lali Puna - Everywhere And Allover (Original Mix).mp3
219078,Donato Wharton,Collision Stills,Original Mix,City Centre Offices,D major,,Electronica / Downtempo,beatport-edm,219078 Donato Wharton - Collision Stills (Original Mix).mp3
220883,,,,,,140,,giantsteps-tempo,220883.mp3
221206,Ndru,Klang Sayang,Original Mix,Perspectiv Records,G major,,Minimal,beatport-edm,221206 Ndru - Klang Sayang (Original Mix).mp3
224078,Kimar,Keep The Groove,Original Mix,Open Bar Music,C minor,,House,beatport-edm,224078 Kimar - Keep The Groove (Original Mix).mp3
224256,Fractal Glider,Tabla Trek,Original Mix,Boom! Records,G# major,,Psy-Trance,beatport-edm,224256 Fractal Glider - Tabla Trek (Original Mix).mp3
225388,"Morgan Caney, Kamal Joory",3000 Miles,Original Mix,City Centre Offices,G major,,Electronica / Downtempo,beatport-edm,"225388 Morgan Caney, Kamal Joory - 3000 Miles (Original Mix).mp3"
226990,"Temperance, Mystah Munroe, The Polarbabies",My Sentiments Exactly,Polarbabies Mix,Hi-Bias Records,D major,,Funky / Groove / Jackin' House,beatport-edm,"226990 Temperance, Mystah Munroe, The Polarbabies - My Sentiments Exactly (Polarbabies Mix).mp3"
239698,"CCK, Commercial Club Crew",Close To Me,Commercial Club Crew Remix,Andorfine Records,B minor,,Hard Dance,beatport-edm,"239698 CCK, Commercial Club Crew - Close To Me (Commercial Club Crew Remix).mp3"
239972,Phunk Foundation,Let It Go,Club Radio Edit,Andorfine Records,A# major,,Hard Dance,beatport-edm,239972 Phunk Foundation - Let It Go (Club Radio Edit).mp3
245736,Dark Machines,Dark Machines,Original Mix,Elektrotribe Records,D major,,Drum & Bass,beatport-edm,245736 Dark Machines - Dark Machines (Original Mix).mp3
246613,"Dieter Krause, Deepak Sharma",Blow,Original Mix,Hidden Recordings,E major,,Tech House,beatport-edm,"246613 Dieter Krause, Deepak Sharma - Blow (Original Mix).mp3"
251655,Silver,Angry & Bitter,Original Mix,Avalanche Recordings,G minor,,Drum & Bass,beatport-edm,251655 Silver - Angry & Bitter (Original Mix).mp3
255261,"Rektchordz, Pete Voyager",Street Slut,Pete Voyager Remix,Bombtraxx Records,E minor,,Breaks,beatport-edm,"255261 Rektchordz, Pete Voyager - Street Slut (Pete Voyager Remix).mp3"
255895,GusGus,Moss feat. Daniel Agust,Original Mix,Pineapple Records,D# minor,,Electro House,beatport-edm,255895 GusGus - Moss feat. Daniel Agust (Original Mix).mp3
257025,Ed Royal,Gravity,Organic Funk Remix,Innvision Records,E minor,,Breaks,beatport-edm,257025 Ed Royal - Gravity (Organic Funk Remix).mp3
269382,Vision & Canedy,Aeroplane,Original Mix,Hadshot Haheizar,F# minor,,Progressive House,beatport-edm,269382 Vision & Canedy - Aeroplane (Original Mix).mp3
272788,16 Bit Lolitas,Non Verbal Language,Original Mix,,Bb major,,progressive-house,giantsteps-key,272788 16 Bit Lolitas - Non Verbal Language (Original Mix).mp3
273439,Sound Field,Psychedelic Revival,Original Mix,Oxygen Records (Ingrooves),F minor,,Psy-Trance,beatport-edm,273439 Sound Field - Psychedelic Revival (Original Mix).mp3
273553,740 Boyz,Party Over Here,Boyz Party Bonus,Cutting Records,F minor,,House,beatport-edm,273553 740 Boyz - Party Over Here (Boyz Party Bonus).mp3
277229,Orlando Vaughan,Better Than Never,Original Mix,Duffnote Recordings,A# minor,,House,beatport-edm,277229 Orlando Vaughan - Better Than Never (Original Mix).mp3
277874,Jason Nawty,Ripped,Original Mix,12 Inch Thumpers,C major,,Hard Dance,beatport-edm,277874 Jason Nawty - Ripped (Original Mix).mp3
278893,,,,,,145,,giantsteps-tempo,278893.mp3
282105,DJ Jaromir,Cosmic Collision,Original Mix,Royal Tek Records,G minor,,Trance,beatport-edm,282105 DJ Jaromir - Cosmic Collision (Original Mix).mp3
283467,"Funky Junction, Antony Reale, Erasmo",I Believe In Love feat. Carl McDonald,Instrumental Mix,Sheeva Records,A minor,,House,beatport-edm,"283467 Funky Junction, Antony Reale, Erasmo - I Believe In Love feat. Carl McDonald (Instrumental Mix).mp3"
287952,SL2,On A Ragga Tip â€˜97,Original Mix,XL Recordings,A minor,,Breaks,beatport-edm,287952 SL2 - On A Ragga Tip â€˜97 (Original Mix).mp3
289631,"Italian Rockaz, Avoya, Lil M",Il Mio Amore,Original Club Mix,Balloon Records,G major,,Hard Dance,beatport-edm,"289631 Italian Rockaz, Avoya, Lil M - Il Mio Amore (Original Club Mix).mp3"
290580,Plastikfunk,Let Me See Your Hands,Original Mix,Embassy One,A# minor,,Electro House,beatport-edm,290580 Plastikfunk - Let Me See Your Hands (Original Mix).mp3
291094,"Carlos Mendes, Willy De Loren, Jacoby, Carlos Mendes",Malibu,Quiet Running Mix,Disko Massaka,D major,,Tech House,beatport-edm,"291094 Carlos Mendes, Willy De Loren, Jacoby, Carlos Mendes - Malibu (Quiet Running Mix).mp3"
292281,Alias,Divine Disappointment,Original Mix,Anticon,C# minor,,Hip-Hop / R&B,beatport-edm,292281 Alias - Divine Disappointment (Original Mix).mp3
292564,Sole,Atheist Jihad,Original Mix,Anticon,D major,,Hip-Hop / R&B,beatport-edm,292564 Sole - Atheist Jihad (Original Mix).mp3
292730,Locomotive,Way Out Here,Original Mix,Ruff Recordings,B minor,,Breaks,beatport-edm,292730 Locomotive - Way Out Here (Original Mix).mp3
293203,Bloquera,Fiesta,Instrumental Mix,Tres Records,D major,,Hip-Hop / R&B,beatport-edm,293203 Bloquera - Fiesta (Instrumental Mix).mp3
297002,"System Nipel, Visual Contact, Cosmic Tone",Lift Me Up,Cosmic Tone Remix,Com.Pact Records,F minor,,Psy-Trance,beatport-edm,"297002 System Nipel, Visual Contact, Cosmic Tone - Lift Me Up (Cosmic Tone Remix).mp3"
297010,The Sidewinder,Skit 1,Original Mix,Soma Records,C minor,,Electronica / Downtempo,beatport-edm,297010 The Sidewinder - Skit 1 (Original Mix).mp3
297011,Light Sleepers,Rain Dance,Original Mix,Soma Records,C minor,,Electronica / Downtempo,beatport-edm,297011 Light Sleepers - Rain Dance (Original Mix).mp3
297012,The Sidewinder,Stanway's Revenge,Jimpster Mix,Soma Records,A# minor,,Electronica / Downtempo,beatport-edm,297012 The Sidewinder - Stanway's Revenge (Jimpster Mix).mp3
297013,Daniel Ibbotson,Stumble,John Tejada Mix,Soma Records,G minor,,Electronica / Downtempo,beatport-edm,297013 Daniel Ibbotson - Stumble (John Tejada Mix).mp3
